epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1207,1.84552,2.52204,1.64714,0,0,0,0,0,447.37,0,0.00032963,0.00032963,0.00032963
2,20.249,1.68498,1.69989,1.51809,0,0,0,0,0,354.396,0,0.000649836,0.000649836,0.000649836
3,28.8413,1.69256,1.70723,1.55058,0,0,0,0,0,307.529,0,0.000956843,0.000956843,0.000956843
4,37.5272,1.6472,1.65099,1.53415,0,0,0,0,0,405.542,0,0.0009406,0.0009406,0.0009406
5,46.8115,1.61346,1.5464,1.49857,0,0,0,0,0,290.839,0,0.0009208,0.0009208,0.0009208
6,70.8444,1.58808,1.52164,1.48051,0,0,0,0,0,300.786,0,0.000901,0.000901,0.000901
7,94.539,1.55473,1.47101,1.4533,0,0,0,0,0,315.047,0,0.0008812,0.0008812,0.0008812
8,117.797,1.55087,1.46978,1.45359,0,0,0,0,0,256.354,0,0.0008614,0.0008614,0.0008614
9,141.685,1.51549,1.40784,1.44711,0,0,0,0,0,358.047,0,0.0008416,0.0008416,0.0008416
10,158.861,1.50192,1.39909,1.43289,0,0,0,0,0,284.602,0,0.0008218,0.0008218,0.0008218
